Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","032","Argentine","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","361704.91","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","10.51","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","032","Argentine","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","174596.75","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","12","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","40","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5072","Variation de stock","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5911","Exportations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5301","Disponibilité intérieure","S2734","Viande de Volailles","2022","2022","1000 t","52","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5123","Pertes","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","51","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","18.45","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","70.07","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","661","Disponibilité alimentaire (Kcal)","S2734","Viande de Volailles","2022","2022","millions de kcal","71107.94","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","8.36","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","671","Disponibilité de protéines en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","8487.32","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2734","Viande de Volailles","2022","2022","g/personne/jour","4.04","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","051","Arménie","681","Disponibilité de matière grasse en quantité (t)","S2734","Viande de Volailles","2022","2022","tonnes","4104.57","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","036","Australie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1397","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","036","Australie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","4","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","036","Australie","5072","Variation de stock","S2734","Viande de Volailles","2022","2022","1000 t","60","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","036","Australie","5911","Exportations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","56","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","036","Australie","5301","Disponibilité intérieure","S2734","Viande de Volailles","2022","2022","1000 t","1285","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","036","Australie","5170","Résidus","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","036","Australie","5142","Nourriture","S2734","Viande de Volailles","2022","2022","1000 t","1285","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","036","Australie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","49.09","E","Valeur estimée",""
